-----------------------------------
Unigrams and their probabilities:
back? has probability 0.00012388284222635164
system? has probability 0.00012388284222635164
weren't has probability 0.00012388284222635164
never has probability 0.00012388284222635164
conditions has probability 0.00012388284222635164
plant has probability 0.00012388284222635164
western has probability 0.00012388284222635164
charges has probability 0.00012388284222635164
court has probability 0.00012388284222635164
day? has probability 0.00012388284222635164
normal has probability 0.00012388284222635164
process has probability 0.00012388284222635164
sport has probability 0.00012388284222635164
process? has probability 0.00012388284222635164
around has probability 0.00011798365926319205
seen has probability 0.00011798365926319205
die? has probability 0.00011798365926319205
article has probability 0.00011798365926319205
news has probability 0.00011798365926319205
until has probability 0.00011798365926319205
game? has probability 0.00011798365926319205
event has probability 0.00011798365926319205
low has probability 0.00011798365926319205
agreement has probability 0.00011798365926319205
factors has probability 0.00011798365926319205
securities has probability 0.00011798365926319205
total has probability 0.00011798365926319205
budget has probability 0.00011798365926319205
next has probability 0.00011798365926319205
examples has probability 0.00011798365926319205
reagan has probability 0.00011798365926319205
lose has probability 0.00011798365926319205
tax has probability 0.00011798365926319205
troops has probability 0.00011798365926319205
team has probability 0.00011798365926319205
russian has probability 0.00011798365926319205
authorities has probability 0.00011798365926319205
run has probability 0.00011208447630003245
take? has probability 0.00011208447630003245
outside has probability 0.00011208447630003245
since has probability 0.00011208447630003245
found? has probability 0.00011208447630003245
scientists? has probability 0.00011208447630003245
agree has probability 0.00011208447630003245
through has probability 0.00011208447630003245
popular has probability 0.00011208447630003245
at? has probability 0.00011208447630003245
level has probability 0.00011208447630003245
right has probability 0.00011208447630003245
relationship has probability 0.00011208447630003245
made? has probability 0.00011208447630003245
likely has probability 0.00011208447630003245
insurance has probability 0.00011208447630003245
low? has probability 0.00011208447630003245
needed? has probability 0.00011208447630003245
stay has probability 0.00011208447630003245
local has probability 0.00011208447630003245
receive has probability 0.00011208447630003245
won't has probability 0.00011208447630003245
call has probability 0.00011208447630003245
reach has probability 0.00011208447630003245
capital has probability 0.00011208447630003245
refer has probability 0.00011208447630003245
share? has probability 0.00011208447630003245
one? has probability 0.00011208447630003245
leading has probability 0.00011208447630003245
nation has probability 0.00011208447630003245
drug has probability 0.00011208447630003245
supposed has probability 0.00011208447630003245
court? has probability 0.00011208447630003245
defense has probability 0.00011208447630003245
demand has probability 0.00011208447630003245
co. has probability 0.00011208447630003245
care has probability 0.00011208447630003245
order has probability 0.00011208447630003245
city? has probability 0.00011208447630003245
data has probability 0.00011208447630003245
controversial? has probability 0.00011208447630003245
law has probability 0.00011208447630003245
conflict has probability 0.00011208447630003245
weapons? has probability 0.00011208447630003245
serbs has probability 0.00011208447630003245
provide has probability 0.00010618529333687285
now has probability 0.00010618529333687285
coming has probability 0.00010618529333687285
others has probability 0.00010618529333687285
significant has probability 0.00010618529333687285
author has probability 0.00010618529333687285
reasons has probability 0.00010618529333687285
line has probability 0.00010618529333687285
strong has probability 0.00010618529333687285
away has probability 0.00010618529333687285
known has probability 0.00010618529333687285
done? has probability 0.00010618529333687285
program? has probability 0.00010618529333687285
red has probability 0.00010618529333687285
shut has probability 0.00010618529333687285
killed? has probability 0.00010618529333687285
responsible has probability 0.00010618529333687285
research has probability 0.00010618529333687285
month? has probability 0.00010618529333687285
buying has probability 0.00010618529333687285
poor has probability 0.00010618529333687285
production has probability 0.00010618529333687285
whats has probability 0.00010618529333687285
laws has probability 0.00010618529333687285
oil has probability 0.00010618529333687285
well? has probability 0.00010618529333687285
related has probability 0.00010618529333687285
save has probability 0.00010618529333687285
hold has probability 0.00010618529333687285
inc. has probability 0.00010618529333687285
official has probability 0.00010618529333687285
visit has probability 0.00010618529333687285
strike has probability 0.00010618529333687285
deficit has probability 0.00010618529333687285
future has probability 0.00010618529333687285
force has probability 0.00010618529333687285
away? has probability 0.00010618529333687285
job has probability 0.00010618529333687285
measures has probability 0.00010618529333687285
conflict? has probability 0.00010618529333687285
sides has probability 0.00010618529333687285
civil has probability 0.00010618529333687285
administration has probability 0.00010028611037371324
private has probability 0.00010028611037371324
also has probability 0.00010028611037371324
situation has probability 0.00010028611037371324
meeting? has probability 0.00010028611037371324
schools has probability 0.00010028611037371324
bring has probability 0.00010028611037371324
fall? has probability 0.00010028611037371324
damage has probability 0.00010028611037371324
aren't has probability 0.00010028611037371324
earthquake has probability 0.00010028611037371324
always has probability 0.00010028611037371324
hit has probability 0.00010028611037371324
affected has probability 0.00010028611037371324
japan has probability 0.00010028611037371324
efforts has probability 0.00010028611037371324
named has probability 0.00010028611037371324
growth has probability 0.00010028611037371324
event? has probability 0.00010028611037371324
changed has probability 0.00010028611037371324
profit has probability 0.00010028611037371324
improve has probability 0.00010028611037371324
ever has probability 0.00010028611037371324
stock? has probability 0.00010028611037371324
certain has probability 0.00010028611037371324
economy? has probability 0.00010028611037371324
banks has probability 0.00010028611037371324
products? has probability 0.00010028611037371324
products has probability 0.00010028611037371324
investors? has probability 0.00010028611037371324
air has probability 0.00010028611037371324
funds has probability 0.00010028611037371324
side has probability 0.00010028611037371324
impact has probability 0.00010028611037371324
young has probability 0.00010028611037371324
officials? has probability 0.00010028611037371324
bonds has probability 0.00010028611037371324
form has probability 0.00010028611037371324
original has probability 0.00010028611037371324
fall has probability 0.00010028611037371324
parts has probability 0.00010028611037371324
book has probability 0.00010028611037371324
town? has probability 0.00010028611037371324
start has probability 0.00010028611037371324
attack? has probability 0.00010028611037371324
ban has probability 0.00010028611037371324
east has probability 0.00010028611037371324
bonds? has probability 0.00010028611037371324
black has probability 9.438692741055364e-05
